Vertical,Sub Vertical,Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description,Organization Units,Applications
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Determine customer Eligibility,Eligibility Screening,Apply routing and killer questions,Applicant Eligibility,Initial Mortgage eligibility assessment,Mortgage Purpose,Purchase / Remortgage,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Determine customer Eligibility,Eligibility Screening,Apply routing and killer questions,Applicant Eligibility,Initial Mortgage eligibility assessment,Number of Applicants,Max 2 Applicants allowed,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Determine customer Eligibility,Eligibility Screening,Apply routing and killer questions,Applicant Eligibility,Initial Mortgage eligibility assessment,Property is in UK,Property Should be in UK,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Determine customer Eligibility,Eligibility Screening,Apply routing and killer questions,Applicant Eligibility,Initial Mortgage eligibility assessment,Applicant is UK resident,Only UK Resident,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Capture Customer Profile,Customer Information Capture,Capture application details,Applicant,Applicant Personal Information,Full Name,Name of the Applicant,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Capture Customer Profile,Customer Information Capture,Capture application details,Applicant,Applicant Personal Information,Date of Birth,DOB of the Applicant,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Capture Customer Profile,Customer Information Capture,Capture application details,Applicant,Applicant Personal Information,Annual Income,Annual Income of Applicant,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Capture Customer Profile,Customer Information Capture,Capture application details,Applicant,Applicant Personal Information,Occupation,Applicant Occupation,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Capture Property Information,Customer Information Capture,Capture property details,Property,Property used as Mortgage Security,Property Address,Purchase Property Address,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Capture Property Information,Customer Information Capture,Capture property details,Property,Property used as Mortgage Security,Property Type,Purchase Property Type,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Capture Property Information,Customer Information Capture,Capture property details,Property,Property used as Mortgage Security,EPC Rating,Purchase EPC Rating,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Customer Qualification,Capture Property Information,Customer Information Capture,Capture property details,Property,Property used as Mortgage Security,Property Value,Purchase Property Value,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Mortgage Assessment,Capture loan requirement,loan assessment,Capture borrowing requirements,Mortgage request,Requested Mortgage details,Loan Amount,Purchase Loan Amount,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Mortgage Assessment,Capture loan requirement,loan assessment,Capture borrowing requirements,Mortgage request,Requested Mortgage details,Loan Terms,Purchase Terms,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Mortgage Assessment,Capture loan requirement,loan assessment,Capture borrowing requirements,Mortgage request,Requested Mortgage details,Deposit Amount,Applicant Deposit Amount,Broker,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Origination,Product Selection,Determine eligible mortgage products,Product Recommendation,Apply Product eligibility rules,Product Recommendation,Products Recommended by AI Agent,Product Name,Loan Product Name,Product Team,Agentic AI Mortgage Platform
