Vertical,Sub Vertical,Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Element,Organization Units,Applications
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Customer master,Name,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Customer master,Age,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Financial profile,Income,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Financial profile,Investable assets,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Financial profile,Net Worth,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Financial profile,Monthly Surplus,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Financial profile,Idle Cash Balance,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Financial profile,Credit Profile,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Financial profile,Risk Appetite,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
Financial Services,Wealth Management,Client Onboarding,Prospecting,"The early-stage process that identifies, qualifies, and moves potential clients into the formal onboarding pipeline.",Lead Identification,Discover potential clients matching the ideal client profile through inbound signals,Financial profile,Avg Monthly Bank Balance,"Research Team, Advisory Teams,CRM teams","Internal CRM (existing customers, referrals),Core Banking System (CBS),Campaign data (marketing leads),Third-party databases (wealth lists, bureaus,Experian ,Equifax ,TransUnion ,Wealth-X,Altrata ,Knight Frank),Public data (LinkedIn, company filings)"
