Vertical,Sub Vertical,Capability Name,Capability Description,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description,Applications,API,Organization Units
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Legal Entity,Details of the customer organization,User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Fund Mandate data,Details of the funds run by the customer,User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Account Structure,Account structure for the portfolios and relations,User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Sec Master & Reference data,Security Master and reference data used and their sources,User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Portfolio & Position Data,Portoflio and position data from the various trading systems,User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Trade & Execution data,Trade and transaction data,User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Compliance rules,Regulatory rules and applicability,User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Risk Analytics data,Risk models used and reported,User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Settlement & Custody data,"Custodians, SSI, Agents etc",User upload of requirement data,Upload document API,
Capital Markets,Asset Management,Client Onboarding,Set of processes that State Street follows to onboard a new client on their Alpha platform,Pre-Contract,Process during which State Street captures the requirements of the new customer and prepares the contract for the onboarding,Requirement submission,Upload customer requirement document,Request Data,New customer requirements are captured,Accouting data,"Valuation methods, NAV rules, expenses etc",User upload of requirement data,Upload document API,
