Vertical,Sub Vertical,Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description,Organization Units,Applications
Banking,Mortgage Lending,Mortgage Servicing,Loan Activation,Establish the mortgage account ,Loan Account Creation,Create loan account record in core system,Loan Account,Mortgage account maintained throughout the servicing lifecycle,Loan Account Number,Unique identifier assigned to the mortgage account,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Loan Activation,Establish the mortgage account ,Loan Account Creation,Link customer to loan account,Customer,Created account linked to the customer,Customer ID,Unique identifier assigned to the customer,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Loan Activation,Establish the mortgage account and associated security following loan disbursement,Collateral Linking,Associate the mortgaged property with the newly created loan account,Collateral,Property pledged as security for the mortgage loan,Collateral ID,Unique identifier of the secured property,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Loan Activation,Establish the mortgage account and associated security following loan disbursement,Lien Registration,Create and record the lender's security interest against the collateral property,Security Interest,Legal charge registered against the property,Lien Reference Number,Unique identifier of the registered charge/lien,Legal / Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Loan Activation,Validate the requested disbursal amount against the sanctioned amount & process for disbursal,Disbursement Processing,Record disbursed amount,Disbursement,Mortgage funds released to purchase or refinance the property,Disbursed Amount,Amount released to the customer ,Operations,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Loan Activation,Validation of loan account setup & conformance to product mapping,Loan Setup Validation,"Validate loan terms (rate, tenure, type)",Loan Account,Validation of loan account setup & conformance to product mapping,Interest Rate,Applicable rate associated with the mortgage product,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Loan Activation,Generation of EMI schedule ( P+I) across the tenor of the loan,Repayment Setup,Generate amortization schedule,Repayment Schedule,Planned repayment schedule for the life of the loan,EMI Amount,Scheduled monthly mortgage repayment amount,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Loan Activation,Establish the EMI commencement date along with debit frequency,Repayment Setup,Assign first payment date,Repayment Schedule,Planned repayment schedule for the life of the loan,First Payment Date,Date on which the first mortgage payment is due,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Customer Onboarding,"Welcome pack generation with welcome letter ,details of customer ID , loan account along with  amortization schedule ",Welcome Communication,Generate welcome letter,Communication,Customer communication generated during servicing activities,Welcome Letter No/ID,Unique reference of the welcome communication,Customer Service,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Customer Onboarding,Welcome pack delivery,Welcome Communication,Deliver welcome letter (Email/Post),Communication,Customer communication generated during servicing activities,Delivery Status,Status of communication delivery,Customer Service,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Customer Onboarding,Establish repayment source account,Payment Setup,Capture bank details,Payment Mandate,Authority provided by customer for payment collection,Account Number,Customer bank account used for repayments,Payments Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Customer Onboarding,Establish repayment source account,Payment Setup,Validate DD mandate with BACS,Payment Mandate,Authority provided by customer for payment collection,DD Status,Direct Debit mandate status,Payments Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Customer Onboarding,Establish repayment frequency,Payment Scheduling,Define repayment cycle,Payment Schedule,Scheduled repayment frequency and timing,Payment Frequency ,Frequency of repayment collection,Payments Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Customer Onboarding,Establish repayment frequency & EMI debit start date,Payment Scheduling,Schedule first payment collection,Payment Schedule,Scheduled repayment frequency and timing,Payment Date,Scheduled date of repayment collection,Payments Team,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Establish interest accrual frequency,Interest Accrual,Calculate daily/monthly interest,Interest,Interest accrued on outstanding mortgage balance,Interest Rate,,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Establish interest booking and capitalization frequency,Interest Accrual,Apply interest to loan balance,Interest,Interest accrued on outstanding mortgage balance,Interest Amount,Amount of interest applied to the account,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Establish loan statement generation,Statement Management,Generate annual statement,Statement,Periodic account summary provided to customer,Statement ID,Unique statement reference,Customer Service,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Establish loan statement generation & delivery,Statement Management,Deliver statement,Communication,Customer communication generated during servicing activities,Statement Delivery Status,Status of statement delivery,Customer Service,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Establish interest rate method cutover from fixed to variable,Rate Monitoring,Track fixed-rate expiry,Product,Mortgage product details and lifecycle,Rate Expiry Date,Date on which the fixed-rate period ends,Servicing Ops,Agentic AI Mortgage Platform
Banking,Mortgage Lending,Mortgage Servicing,Ongoing Mortgage Servicing,Estabish rate change ,Rate Change Processing,Retrieve/apply new interest rate,Interest Rate,Pricing information applicable to the mortgage,New Rate,Updated mortgage interest rate,Servicing Ops,Agentic AI Mortgage Platform
