Vertical,Sub-Vertical,Capability,Capability Description,Process,Process Description,Process Level,Process Category,Sub-Process,Sub-Process Description,Data Entity,Application,API (Assumption)
Capital Markets,Client Onboarding,Pre-Contract,Understanding the customer requirements and creating the final contract,Requirement Capture,,Level 1,Intake,Requirement submission,Upload customer requirement document,Request Data,User upload of requirement data,Upload document API
Capital Markets,Client Onboarding,Pre-Contract,Understanding the customer requirements and creating the final contract,Pricing Matrix Analysis,,Level 2,Pricing Analysis,Pricing Matrix Comparison,Compass compares with Pricing Matrix to determine type of customer and services,Compare data,Knowledge Base :Pricing Matrix,Pricing Matrix comparator API
Capital Markets,Client Onboarding,Pre-Contract,Understanding the customer requirements and creating the final contract,Requirements Classification,,Level 3,Requirements Classification,Standard Requirements,Identify standard requirements,Standard Specs,Knowledge Base : Standard Spec,StandardSpec API
Capital Markets,Client Onboarding,Pre-Contract,Understanding the customer requirements and creating the final contract,Requirements Classification,,Level 3,Requirements Classification,Non-Standard Requirement,Identify non standard requirements,Non-Standard Specs,Knowledge Base : Standard Spec,StandardSpec API
Capital Markets,Client Onboarding,Pre-Contract,Understanding the customer requirements and creating the final contract,Requirements Classification,,Level 4,Requirements Classification,Estimation,Estimate standard requirements,Standard Specs,Knowledge Base : Standard Spec,StandardSpec API
Capital Markets,Client Onboarding,Pre-Contract,Understanding the customer requirements and creating the final contract,Requirements Classification,,Level 4,Requirements Classification,Estimation,Estimate non standard requirements,Non-Standard Specs,Knowledge Base : Non Standard Spec,NonStandardSpec Estimates API
Capital Markets,Client Onboarding,Pre-Contract,Understanding the customer requirements and creating the final contract,Program Plan creation,,Level 5,Program Plan creation,Planning,Create the draft program plan based on KB,Program plan,Knowledge Base: Program Plan,Program Plan API
Capital Markets,Client Onboarding,Pre-Contract,Understanding the customer requirements and creating the final contract,Program Plan creation,,Level 6,Contract Creation,First Draft,Create the first draft of the contract from KB,Contract ,Knowledge Base: Contract,Contract API
Capital Markets,Client Onboarding,Mobilization,,PMO deliverables,,Level 1,PMO Activities,PMO Plans,Create the template for all the plans required ,Program plan,Knowledge Base: Program Plan,Program Plan API
Capital Markets,Client Onboarding,Design,,Design Deliverables,,Level 1,Design documents,Gap analysis,create the gap analysis document,Gap Analysis Report,Knowledge base: Gap Analysis,Gap Analysis API
Capital Markets,Client Onboarding,Configure & Build,,Data Feed comparator,,Level 1,Data feed analysis,Feed analysis ,Compare the new data feed with target specs and create the interface document,Interface document,Knowledge base: Feed analysis,Feeds API
Capital Markets,Client Onboarding,Testing,,Test Preparation,,Level 1,Test strategy,Test planning,Test plan creation,Test Plan,Knowledge Base: Test plan,test plan API
Capital Markets,Client Onboarding,Go Live Readiness,,Golive Checklist,,Level 1,Golive Checklist,Golive Checklist,Provide the standard checklist to PM,Golive Checklist,Knowledge Base: Go live checklist,Checklist API
Capital Markets,Client Onboarding,Conversion,,Conversion Checklist,,Level 1,Conversion Checklist,Conversion Checklist,Provide the standard checklist to PM,Conversion Checklist,Knowledge Base: Conversion checklist,Checklist API
Capital Markets,Client Onboarding,Prod Parallel,,Prodparallel test plan,,Level 1,Prodparallel Test plan,Test planning,Provide the prod parallel testplan to PM,Prodparallel Test plan,Knowledge Base: Prod paralel test plan,Prodparallel Test API
Capital Markets,Client Onboarding,Go Live Hypercare,,Golive Hypercare Checklist,,Level 1,Golive Hypercare Checklist,GoLive Checklist,Provide the standard checklist to PM,GoliveHyper care Checklist,Knowledge Base: Go live checklist,HypercareChecklist API
